iter	Passed	Remaining
798	1012	254
799	1013	253
800	1014	252
801	1015	250
802	1016	249
803	1017	248
804	1018	246
805	1019	245
806	1020	244
807	1021	242
808	1022	241
809	1023	240
810	1025	238
811	1026	237
812	1027	236
813	1028	234
814	1029	233
815	1030	232
816	1031	231
817	1032	229
818	1033	228
819	1035	227
820	1036	225
821	1037	224
822	1038	223
823	1039	222
824	1040	220
825	1041	219
826	1043	218
827	1044	216
828	1045	215
829	1046	214
830	1047	213
831	1048	211
832	1049	210
833	1051	209
834	1052	207
835	1053	206
836	1054	205
837	1055	204
838	1056	202
839	1057	201
840	1059	200
841	1060	198
842	1061	197
843	1062	196
844	1063	195
845	1064	193
846	1065	192
847	1066	191
848	1067	189
849	1069	188
850	1070	187
851	1071	186
852	1072	184
853	1073	183
854	1074	182
855	1075	180
856	1076	179
857	1078	178
858	1079	177
859	1080	175
860	1081	174
861	1082	173
862	1083	172
863	1085	170
864	1086	169
865	1087	168
866	1088	166
867	1089	165
868	1090	164
869	1091	163
870	1093	161
871	1094	160
872	1095	159
873	1096	158
874	1097	156
875	1098	155
876	1099	154
877	1100	152
878	1102	151
879	1103	150
880	1104	149
881	1105	147
882	1106	146
883	1107	145
884	1108	144
885	1109	142
886	1110	141
887	1112	140
888	1113	139
889	1114	137
890	1115	136
891	1116	135
892	1118	133
893	1119	132
894	1120	131
895	1121	130
896	1122	128
897	1124	127
898	1125	126
899	1126	125
900	1127	123
901	1128	122
902	1129	121
903	1131	120
904	1132	118
905	1133	117
906	1134	116
907	1135	115
908	1136	113
909	1137	112
910	1139	111
911	1140	110
912	1141	108
913	1142	107
914	1143	106
915	1145	105
916	1146	103
917	1147	102
918	1148	101
919	1150	100
920	1151	98
921	1152	97
922	1153	96
923	1154	94
924	1156	93
925	1157	92
926	1158	91
927	1159	89
928	1160	88
929	1161	87
930	1163	86
931	1164	84
932	1165	83
933	1166	82
934	1167	81
935	1168	79
936	1169	78
937	1170	77
938	1171	76
939	1172	74
940	1174	73
941	1175	72
942	1176	71
943	1177	69
944	1178	68
945	1180	67
946	1181	66
947	1182	64
948	1183	63
949	1184	62
950	1185	61
951	1187	59
952	1188	58
953	1189	57
954	1190	56
955	1191	54
956	1192	53
957	1193	52
958	1194	51
959	1195	49
960	1196	48
961	1197	47
962	1199	46
963	1200	44
964	1201	43
965	1202	42
966	1203	41
967	1205	39
968	1206	38
969	1207	37
970	1208	36
971	1209	34
972	1210	33
973	1212	32
974	1213	31
975	1214	29
976	1215	28
977	1216	27
978	1217	26
979	1218	24
980	1220	23
981	1221	22
982	1222	21
983	1223	19
984	1224	18
985	1225	17
986	1226	16
987	1227	14
988	1229	13
989	1230	12
990	1231	11
991	1232	9
992	1233	8
993	1234	7
994	1235	6
995	1236	4
996	1238	3
997	1239	2
998	1240	1
999	1241	0
